URL,IDs
https://www.healthdirect.gov.au/pain-question-planner,
https://www.healthdirect.gov.au/health-topics,
https://www.healthdirect.gov.au/getting-the-facts-on-ct-scans-for-children-new-online-gateway-launched,
https://www.healthdirect.gov.au/choosing-wisely-campaign-2016,
https://www.healthdirect.gov.au/new-app-to-help-australians-make-smarter-health-decisions,
https://www.healthdirect.gov.au/healthdirect-australia-four-million-callers,
https://www.healthdirect.gov.au/expanded-pregnancy-birth-and-baby-service-launched-today,
https://www.healthdirect.gov.au/5-million-Australians-access-health-advice-via-phone,
https://www.healthdirect.gov.au/new-national-aged-care-contact-centre-tender,
https://www.healthdirect.gov.au/eye-diseases-unpublished,
https://www.healthdirect.gov.au/118000-australians-access-after-hours-gp-helpline,
https://www.healthdirect.gov.au/new-app-helps-you-locate-a-doctor-wherever-you-are,
https://www.healthdirect.gov.au/study-reveals-first-year-of-parenthood-struggles-pr,
https://www.healthdirect.gov.au/our-board,
https://www.healthdirect.gov.au/new-national-aged-care-contact-centre-industry-briefing-media-release,
https://www.healthdirect.gov.au/healthdirect-australia-three-million-and-counting,
https://www.healthdirect.gov.au/nine-tell-tale-signs-of-mental-health-issues,
https://www.healthdirect.gov.au/after-hours-gp-helpline-reaches-a-milestone,
https://www.healthdirect.gov.au/blog,
https://www.healthdirect.gov.au/page-not-found,
https://www.healthdirect.gov.au/access-denied,
https://www.healthdirect.gov.au/information-partners,
https://www.healthdirect.gov.au/the-australian-health-thesaurus-aht,
https://www.healthdirect.gov.au/stool-changes,
https://www.healthdirect.gov.au/how-is-dementia-diagnosed-video-transcript,
https://www.healthdirect.gov.au/living-well-with-dementia-video-transcript,
https://www.healthdirect.gov.au/dementia-and-personality-changes-video-transcript,
https://www.healthdirect.gov.au/delaying-dementia-progress-video-transcript,
https://www.healthdirect.gov.au/dementia-decline-video-transcript,
https://www.healthdirect.gov.au/how-to-reduce-your-risk-of-dementia-video-transcript,
https://www.healthdirect.gov.au/dementia-and-shared-decision-making-video-transcript,
https://www.healthdirect.gov.au/decisions-to-make-after-dementia-diagnosis-video-transcript,
https://www.healthdirect.gov.au/question-builder,
https://www.healthdirect.gov.au/healthdirect-australia-social-media-acceptable-use-policy,
https://www.healthdirect.gov.au/worrytime,
https://www.healthdirect.gov.au/rectal-diseases,
https://www.healthdirect.gov.au/listeria-and-listeriosis,"key-facts, what-is, causes, symptoms, diagnosis, treated, prevented, doctor, information"
https://www.healthdirect.gov.au/dementia-care-options-video-transcript,
https://www.healthdirect.gov.au/no-search-results,
https://www.healthdirect.gov.au/metabolism,"what-is, measured, how, affects, increase, resources"
https://www.healthdirect.gov.au/kiss-my-asthma-app,
https://www.healthdirect.gov.au/daybreak-app-alcohol-support,
https://www.healthdirect.gov.au/counterpart-navigator-app,
https://www.healthdirect.gov.au/upbeat-teen-app,
https://www.healthdirect.gov.au/smallpox,"key-facts, smallpox, symptoms, causes, diagnosed, treated, prevented, complications, managed, same, resources"
https://www.healthdirect.gov.au/sunscreen,"key-facts, what-is, used-for, types, work, when, doctor, resources"
